"No.","Time","Source","Destination","Protocol","Length","Info"
"5","1.021401471","172.217.0.78","192.168.0.113","TCP","66","443  >  50646 [ACK] Seq=1 Ack=312 Win=608 Len=0 TSval=2619602236 TSecr=2942976634"
"6","1.131555223","172.217.0.78","192.168.0.113","TLSv1.2","278","Application Data"
"7","1.132464010","172.217.0.78","192.168.0.113","TLSv1.2","129","Application Data"
"9","1.133484371","172.217.0.78","192.168.0.113","TLSv1.2","189","Application Data"
"10","1.134623757","172.217.0.78","192.168.0.113","TCP","189","[TCP Retransmission] 443  >  50646 [PSH, ACK] Seq=276 Ack=312 Win=608 Len=123 TSval=2619602378 TSecr=2942976634"
"14","1.406166781","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"16","1.407032636","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"18","1.407913192","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"20","1.410142677","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"22","1.411196675","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"26","1.411725017","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"28","1.412392645","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"32","1.412729279","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"34","1.413382208","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"36","1.415241777","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"38","1.415521730","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data"
"40","1.417148551","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"42","1.417533235","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"44","1.420351337","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"46","1.420624065","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"48","1.421237565","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"50","1.421632991","172.217.0.78","192.168.0.113","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"52","1.422283197","172.217.0.78","192.168.0.113","TLSv1.2","1333","Application Data, Application Data"
"54","1.439077912","173.194.17.136","192.168.0.113","TCP","74","443  >  40254 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736874 TSecr=3833626232 WS=256"
"56","1.439161028","173.194.17.136","192.168.0.113","TCP","74","443  >  40256 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736874 TSecr=3833626232 WS=256"
"61","1.469290791","173.194.17.136","192.168.0.113","TCP","74","443  >  40258 [SYN, ACK] Seq=0 Ack=1 Win=28400 Len=0 MSS=1432 SACK_PERM=1 TSval=561736904 TSecr=3833626259 WS=256"
"63","1.469428114","173.194.17.136","192.168.0.113","TCP","66","443  >  40256 [ACK] Seq=1 Ack=210 Win=29696 Len=0 TSval=561736905 TSecr=3833626259"
"64","1.469580564","173.194.17.136","192.168.0.113","TCP","66","443  >  40254 [ACK] Seq=1 Ack=210 Win=29696 Len=0 TSval=561736905 TSecr=3833626259"
"66","1.470170175","173.194.17.136","192.168.0.113","TLSv1.2","1486","Server Hello"
